GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,10,122,4,15,2,27,4,9,0,3
parking-system,com.parkit.parkingsystem.service,ParkingService,13,280,4,13,5,70,4,12,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,33,32,8,0,7,14,7,7,3,7
parking-system,com.parkit.parkingsystem.model,Ticket,0,46,0,0,0,19,0,13,0,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,36,18,4,0,12,5,3,3,1,3
parking-system,com.parkit.parkingsystem.dao,TicketDAO,49,226,3,5,15,58,3,7,0,6
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,84,129,5,3,26,35,5,5,1,5
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,15,45,3,3,6,20,3,6,0,6
